time;gFx;gFy;gFz;TgF
0.0040;-0.0010;0.0015;0.9753;0.975
0.0060;-0.0051;0.0024;0.9912;0.991
0.0240;-0.0090;0.0000;0.9929;0.993
0.0270;-0.0154;-0.0034;0.9951;0.995
0.0310;-0.0186;-0.0039;0.9958;0.996
0.1750;-0.0227;-0.0024;0.9995;1.000
0.1780;-0.0325;-0.0046;0.9963;0.997
0.1800;-0.0398;-0.0059;0.9926;0.993
0.1980;-0.0486;-0.0039;0.9980;0.999
0.2000;-0.0481;-0.0054;0.9943;0.996
0.2020;-0.0420;-0.0032;0.9975;0.998
0.2050;-0.0320;-0.0015;1.0002;1.001
0.2060;-0.0230;-0.0029;0.9960;0.996
0.2080;-0.0215;-0.0034;0.9977;0.998
0.2090;-0.0225;-0.0044;0.9987;0.999
0.2110;-0.0296;-0.0029;1.0029;1.003
0.2120;-0.0342;-0.0015;1.0048;1.005
0.2140;-0.0340;-0.0010;1.0026;1.003
0.2160;-0.0313;0.0000;1.0012;1.002
0.2170;-0.0264;-0.0015;1.0004;1.001
0.2190;-0.0247;-0.0027;0.9980;0.998
0.2200;-0.0279;-0.0029;0.9997;1.000
0.2210;-0.0310;-0.0022;1.0024;1.003
0.2370;-0.0335;-0.0024;0.9999;1.001
0.2390;-0.0327;-0.0029;0.9992;1.000
0.2410;-0.0322;-0.0027;0.9999;1.000
0.2430;-0.0305;-0.0042;0.9985;0.999
0.2450;-0.0296;-0.0042;0.9987;0.999
0.2960;-0.0271;-0.0042;0.9995;1.000
0.2980;-0.0244;-0.0049;0.9987;0.999
0.3130;-0.0210;-0.0049;0.9992;0.999
0.3150;-0.0169;-0.0044;1.0004;1.001
0.3170;-0.0142;-0.0039;1.0012;1.001
0.3180;-0.0115;-0.0037;1.0007;1.001
0.3200;-0.0137;-0.0034;1.0002;1.000
0.3690;-0.0166;-0.0037;0.9990;0.999
0.3710;-0.0205;-0.0042;0.9980;0.998
0.3730;-0.0244;-0.0042;0.9987;0.999
0.3880;-0.0254;-0.0042;0.9995;1.000
0.3900;-0.0257;-0.0039;1.0002;1.001
0.3920;-0.0239;-0.0037;0.9999;1.000
0.3930;-0.0222;-0.0037;0.9992;0.999
0.3950;-0.0200;-0.0034;0.9992;0.999
0.4090;-0.0186;-0.0034;0.9992;0.999
0.4590;-0.0193;-0.0039;0.9999;1.000
0.4610;-0.0193;-0.0042;1.0007;1.001
0.4760;-0.0198;-0.0046;1.0007;1.001
0.4780;-0.0230;-0.0046;1.0004;1.001
0.4800;-0.0237;-0.0034;0.9992;0.999
0.4810;-0.0252;-0.0024;0.9980;0.998
0.4830;-0.0288;-0.0020;0.9987;0.999
0.4970;-0.0274;-0.0015;0.9982;0.999
0.4990;-0.0271;-0.0015;0.9987;0.999
0.5010;-0.0298;-0.0017;1.0017;1.002
0.5500;-0.0303;-0.0015;1.0026;1.003
0.5520;-0.0308;-0.0020;1.0031;1.004
0.5660;-0.0315;-0.0022;1.0036;1.004
0.5690;-0.0293;-0.0022;1.0017;1.002
0.5700;-0.0283;-0.0027;0.9997;1.000
0.5710;-0.0298;-0.0024;1.0004;1.001
0.5730;-0.0310;-0.0024;1.0012;1.002
0.5880;-0.0318;-0.0029;1.0007;1.001
0.6370;-0.0305;-0.0024;1.0009;1.001
0.6390;-0.0293;-0.0024;1.0004;1.001
0.6520;-0.0269;-0.0032;0.9980;0.998
0.6550;-0.0235;-0.0029;0.9999;1.000
0.6560;-0.0208;-0.0032;1.0012;1.001
0.6580;-0.0173;-0.0039;0.9985;0.999
